Date,Open,High,Low,Close,Volume
8-Jan-10,45.2,45.37,44.51,45.25,1250090
7-Jan-10,45.24,45.81,44.42,45.14,1215287
6-Jan-10,45.33,46.46,45.06,45.67,2047034
5-Jan-10,43.72,45.5,43.19,45.25,2383241
4-Jan-10,43.15,43.8,43,43.57,1104316
1-Jan-10,42.38,42.38,42.38,42.38,0
31-Dec-09,42.77,43.23,42.27,42.38,612211
30-Dec-09,42.76,43.19,42.48,42.9,570362
29-Dec-09,42.82,43.42,42.72,42.86,467772
28-Dec-09,43.81,43.93,42.62,42.9,941108
25-Dec-09,43.77,43.77,43.77,43.77,0
24-Dec-09,43.18,44,43.18,43.77,411828
23-Dec-09,42.5,43.25,42.11,43.18,944124
22-Dec-09,42.64,42.88,42.08,42.3,607297
21-Dec-09,42.07,42.97,42.07,42.56,772516
18-Dec-09,41.31,42.3,41.12,42.1,1118701
17-Dec-09,41.26,41.45,40.84,40.95,639714
16-Dec-09,41.5,42,40.86,41.52,1423291
15-Dec-09,41.39,41.52,40.61,40.7,1128737
14-Dec-09,42.27,42.3,40.84,41.62,1400132
11-Dec-09,40.6,43.05,40.6,41.84,2830357
10-Dec-09,42.44,42.77,40.21,40.36,2897228
9-Dec-09,43.12,43.13,41.67,42.33,2028680
8-Dec-09,44.01,44.13,43.3,43.45,1807109
7-Dec-09,44.55,44.89,44.19,44.54,1475159
4-Dec-09,42.59,44.89,42.59,44.6,2908944
3-Dec-09,42.01,42.75,41.85,42.19,1171224
2-Dec-09,42.66,42.66,41.91,42.08,848931
1-Dec-09,42.16,43.08,41.94,42.66,1465934
30-Nov-09,41.36,42,41,41.98,874636
27-Nov-09,41.41,42.02,40.71,41.3,489015
26-Nov-09,42.59,42.59,42.59,42.59,0
25-Nov-09,42.23,42.89,41.9,42.59,1060777
24-Nov-09,41.51,42.27,40.74,42.11,1829967
23-Nov-09,41.33,42.66,41.27,41.61,1361144
20-Nov-09,41.54,41.54,40.34,40.96,1358951
19-Nov-09,42.68,42.78,41.45,41.75,1077359
